Ntime,time,Close Price,Open Price,High Price,Low Price,Volume,MACD,CCI,ATR,BOLL,EMA20,MA10,MTM6,MA5,MTM12,ROC,SMI,WVAD,US Dollar Index,Federal Fund Rate
20080701,733590,1284.91,1276.69,1285.31,1260.68,584629,-25.5455948,-127.4223485,24.63,1347.154231,1327.453482,1307.927,-33.09,1289.682,-75.12,-5.523407572,-0.039542237,-37722454.84,72.34,2.11
20080702,733591,1261.52,1285.82,1292.17,1261.51,527609,-27.57198621,-115.8649294,30.66,1342.391538,1321.174102,1300.298,-52.77,1277.592,-98.62,-7.25072419,-0.060551224,-52042778.81,71.99,1.95
20080703,733592,1262.9,1262.96,1271.48,1252.01,324759,-28.73531868,-115.1715272,19.47,1337.470769,1315.624188,1292.305,-59.07,1273.542,-88.03,-6.516251767,-0.041754873,-55561481.94,72.73,1.92
20080707,733596,1252.31,1262.9,1273.95,1240.68,526542,-30.1640798,-111.3023021,33.27,1331.857308,1309.594265,1285.743,-26.07,1268.328,-85.5,-6.740987318,-0.049840668,-53525518.26,72.71,1.99
20080708,733597,1273.7,1251.84,1274.17,1242.84,603411,-29.23340455,-82.7327076,31.33,1326.985,1306.175764,1281.313,-6.3,1267.068,-69.13,-3.356020426,-0.030883595,-39091131.65,72.96,1.97
20080709,733598,1244.69,1273.38,1277.36,1244.57,518100,-30.48528685,-92.61161192,32.79,1321.562692,1300.319977,1274.353,-40.22,1259.024,-73.24,-5.562215478,-0.05845821,-51031432.71,72.59,1.99
20080710,733599,1253.39,1245.25,1257.65,1236.76,584043,-30.42467855,-102.2096577,20.89,1316.783462,1295.850455,1267.495,-8.13,1257.398,-64.61,-4.633680542,-0.023192924,-56621807.01,72.49,2.01
20080711,733600,1239.49,1248.66,1257.27,1225.35,674220,-31.13930534,-117.8449804,31.92,1311.486923,1290.482793,1263.129,-23.41,1252.716,-74.8,-6.239173355,-0.030421314,-47750912.94,71.91,1.97
20080714,733603,1228.3,1241.61,1253.5,1225.01,543486,-32.23698382,-120.2807778,28.49,1304.727308,1284.560622,1258.121,-34.6,1247.914,-93.67,-4.274636636,-0.040390625,-53946772.72,71.96,2.06
20080715,733604,1214.91,1226.83,1234.35,1200.44,736364,-33.79776344,-161.3163124,33.91,1299.120769,1277.927229,1251.612,-37.4,1236.156,-68.24,-4.964877423,-0.054478524,-59422582.6,71.7,2.16
20080716,733605,1245.36,1214.65,1245.52,1211.39,673863.04,-32.20637695,-93.45265874,34.13,1294.643846,1274.825589,1247.657,-28.34,1236.29,-33.02,-2.70625,-0.012809944,-34199474.25,72.06,1.95
20080717,733606,1260.32,1246.31,1262.31,1241.49,736520.96,-29.39914962,-3.994304678,20.82,1290.87,1273.444104,1247.537,15.63,1237.676,-19.68,-1.913752714,-0.002042917,-25278531.77,72.05,2.03
20080718,733607,1260.68,1258.22,1262.23,1251.81,565328,-26.83600399,20.88955573,10.42,1287.992692,1272.228475,1247.315,7.29,1241.914,-24.23,-0.06658634,0.006639274,-33094318.62,72.17,1.96
20080721,733610,1260,1261.82,1267.74,1255.7,463064,-24.57626307,46.24721725,12.04,1284.920769,1271.063858,1248.084,20.51,1248.254,-1.52,-0.229630216,-0.010756065,-35719554.95,71.84,1.98
20080722,733611,1277,1257.08,1277.42,1248.83,618023,-21.16961405,88.75461833,28.59,1281.727308,1271.629205,1248.414,48.7,1260.672,14.1,1.116477948,0.025301488,-20555311.49,72.43,1.97
20080723,733612,1282.19,1278.87,1291.17,1276.06,670583,-17.84532079,162.4604887,15.11,1278.729231,1272.634995,1252.164,67.28,1268.038,29.88,2.385990689,0.02246157,-9039818.904,72.81,2.04
20080724,733613,1252.54,1283.22,1283.22,1251.48,612798,-17.4026942,51.59499813,31.74,1274.945,1270.721186,1252.079,7.18,1266.482,-21.16,-1.661301719,0.010418829,-26482790.35,72.85,2.06
20080725,733614,1257.76,1253.51,1263.23,1251.75,467256,-16.44117544,24.87778225,11.48,1271.866154,1269.486787,1253.906,-2.56,1265.898,13.07,1.050060658,0.023422593,-7086107.195,72.81,2.13
20080728,733617,1234.37,1257.76,1260.09,1234.37,428296,-17.36635389,-44.24392438,25.72,1267.694615,1266.142331,1254.513,-26.31,1260.772,-19.02,-1.517484582,0.015765127,-14472163.36,72.69,2
20080729,733618,1263.2,1236.38,1263.2,1236.38,541424,-15.59347258,15.49126432,28.83,1265.589615,1265.862109,1259.342,3.2,1258.012,23.71,1.912883525,0.014122863,-1288160.206,73.3,2.05
20080730,733619,1284.26,1264.52,1284.33,1264.52,563133,-12.34675961,117.3947898,21.13,1264.291923,1267.614289,1263.232,7.26,1258.426,55.96,4.555890255,0.018641085,6366628.829,73.3,2.03
20080731,733620,1267.38,1281.37,1284.93,1265.97,534605,-11.00888752,83.55023831,18.96,1262.487692,1267.591976,1263.938,-14.81,1261.394,52.47,4.318838432,0.005286497,10729906.23,73.2,2.09
20080801,733621,1260.31,1269.42,1270.52,1254.54,468487,-10.39922833,23.52720293,15.98,1260.116154,1266.898455,1263.901,7.77,1261.904,14.95,1.200456093,0.000245971,9381888.362,73.37,2.04
20080804,733624,1249.01,1260.16,1260.49,1247.45,456228,-10.70448989,-54.51680496,13.04,1258.803077,1265.194792,1262.802,-8.75,1264.832,-11.31,-0.897391139,-0.021918559,-481904.3084,73.5,1.97
20080805,733625,1284.88,1254.87,1284.88,1254.67,121931,-7.960241948,90.11671701,35.87,1259.053077,1267.069574,1263.59,50.51,1269.168,24.2,1.919598947,0.002093581,6304767.868,73.96,1.97
20080806,733626,1289.19,1283.99,1291.67,1276,487342,-5.375657467,134.8949742,15.67,1259.406538,1269.176281,1264.29,25.99,1270.154,29.19,2.316666667,0.028428703,19742843.63,74.25,2.01
20080807,733627,1266.07,1286.51,1286.51,1264.29,531938,-5.133767546,40.26486533,24.9,1258.681923,1268.880445,1265.643,-18.19,1269.892,-10.93,-0.855912294,0.006563618,9435865.792,74.54,1.96
20080808,733628,1296.32,1266.29,1297.85,1262.11,496681,-2.472642764,107.0401013,35.74,1260.020385,1271.493736,1269.499,28.94,1277.094,14.13,1.102020761,0.047789126,22463635.46,75.84,2.01
20080811,733631,1305.32,1294.42,1313.15,1291.41,506731,0.358411042,167.6426618,21.74,1261.651923,1274.715285,1276.594,45.01,1288.356,52.78,4.213837482,0.03226795,17437823.36,76.27,1.99
20080812,733632,1289.59,1304.79,1304.79,1285.64,471129,1.31757387,107.9512482,19.68,1263.085769,1276.131924,1279.233,40.58,1289.298,31.83,2.53068948,0.004133097,21339215.16,76.17,1.95
20080813,733633,1285.83,1288.64,1294.03,1274.86,478760,1.754096611,59.16625979,19.17,1263.552308,1277.055551,1279.39,0.95,1288.626,51.46,4.168928279,0.014348709,14772133.18,76.26,1.98
20080814,733634,1292.93,1282.11,1300.11,1276.84,406400,2.642493669,73.34461604,23.27,1265.407692,1278.567403,1281.945,3.74,1293.998,29.73,2.353546548,0.025229517,22998679.73,76.71,2.09
20080815,733635,1298.2,1293.85,1302.05,1290.74,404182,3.728816223,96.95107903,11.31,1267.131154,1280.437174,1285.734,32.13,1294.374,13.94,1.085449987,0.037890926,32575095.85,77.12,2.08
20080818,733638,1278.6,1298.14,1300.22,1274.51,382929,2.973897241,20.6778607,25.71,1268.635385,1280.262205,1288.693,-17.72,1289.03,11.22,0.885290915,-0.004887616,32234402.78,77.18,1.91
20080819,733639,1266.69,1276.65,1276.65,1263.11,415976,1.398460463,-67.95662752,15.49,1270.111923,1278.969614,1286.874,-38.63,1284.45,6.38,0.506224659,-0.017452819,12766445.96,76.76,1.94
20080820,733640,1274.54,1267.34,1276.01,1261.16,455503,0.774417854,-55.9587069,14.85,1272.405385,1278.547746,1285.409,-15.05,1282.192,25.53,2.044018863,0.006645535,5630646.777,76.93,1.98
20080821,733641,1277.72,1271.07,1281.4,1265.22,403259,0.530345521,-40.86278399,16.18,1273.65,1278.468913,1286.574,-8.11,1279.15,-7.16,-0.557250483,-0.014348309,4874473.015,76.08,2.01
20080822,733642,1292.2,1277.59,1293.09,1277.59,374107,1.48817665,31.17796143,15.5,1274.876154,1279.776636,1286.162,-0.73,1277.95,3.01,0.233479937,-0.010051175,13338636.23,76.74,2.02
20080825,733645,1266.84,1290.47,1290.47,1264.87,342060,0.198634924,-77.61745723,27.33,1275.113077,1278.544575,1282.314,-31.36,1275.598,0.77,0.060818122,-0.017641266,-3054240.634,76.81,2.01
20080826,733646,1271.51,1267.03,1275.65,1263.21,358757,-0.441417824,-89.6130068,12.44,1275.555769,1277.874616,1280.506,-7.09,1276.562,-24.81,-1.913879289,-0.011136775,-3821105.339,77.27,1.88
20080827,733647,1281.66,1271.29,1285.05,1270.03,349961,-0.12816664,-31.80730195,15.02,1275.735,1278.235128,1280.089,14.97,1277.986,-23.66,-1.812582355,-0.008716636,14287083.65,77.04,1.98
