Ntime,Time,Open Price,Closing Price,High price,Low Price,Volume,MACD,CCI,ATR,BOLL_MID,EMA20,MA5,MA10,MTM6,MTM12,ROC,SMI,WVAD,US dollar Index,Federal Fund Rate
20080716,733605,10961.89,11239.28,11244.17,10918.33,307589159,-301.2586175,-71.45065357,325.84,11616.72038,11440.59853,11117.314,11185.423,-144.93,-110.73,-0.975593854,0.002114904,-8934592.549,72.06,1.95
20080717,733606,11238.39,11446.66,11446.66,11209.56,335260310,-264.1956022,92.99341658,237.1,11584.29346,11441.17581,11160.842,11208.538,299.22,64.4,0.565792734,0.013813636,-6694589.503,72.05,2.03
20080718,733607,11436.56,11496.57,11510.82,11381.93,378614493,-228.1654267,147.5273192,128.89,11561.70885,11446.45145,11240.048,11229.341,267.55,281.06,2.505993932,0.02301643,-7367728.613,72.17,1.96
20080721,733610,11495.02,11467.34,11559.67,11423.94,212846322,-199.6682188,144.2000047,135.73,11535.77654,11448.44083,11322.478,11252.879,366.8,178.8,1.583907219,0.007249284,-7020888.567,71.84,1.98
20080722,733611,11457.9,11602.5,11616.66,11387.39,273692293,-164.2839309,145.9565965,229.27,11508.66692,11463.11314,11450.47,11274.708,547.31,313.96,2.781227688,0.039220858,-4187517.207,72.43,1.97
20080723,733612,11603.39,11632.38,11698.17,11558.29,264528225,-132.305427,149.759529,139.88,11484.17846,11479.23379,11529.09,11323.202,669.84,400.42,3.565005573,0.034675621,-1967195.543,72.81,2.04
20080724,733613,11630.34,11349.28,11634.49,11345.37,241143173,-128.3267652,58.47746347,289.12,11452.98538,11466.85724,11509.614,11335.228,110,-34.93,-0.306828493,0.021916809,-4997575.274,72.85,2.06
20080725,733614,11341.14,11370.69,11443.81,11325.1,190924529,-122.0392465,28.29834393,118.71,11427.66346,11457.69845,11484.438,11362.243,-75.97,223.25,2.002701966,0.027746777,-646597.4948,72.81,2.13
20080728,733617,11369.47,11131.08,11369.55,11125.13,197553282,-134.8365552,-37.79234015,245.56,11391.81692,11426.59193,11417.186,11369.832,-365.49,-97.94,-0.872204342,0.015141388,-2535874.305,72.69,2
20080729,733618,11133.44,11397.56,11398.38,11128.06,206934840,-122.068674,-0.391710707,270.32,11374.69654,11423.82699,11376.198,11413.334,-69.78,297.02,2.675725685,0.013887183,-73899.58389,73.3,2.05
20080730,733619,11397.56,11583.69,11586.62,11397.56,208517857,-95.82627503,76.13385028,189.06,11364.74769,11439.05204,11366.46,11447.775,-18.81,528.5,4.780560081,0.011829564,1864765.376,73.3,2.03
20080731,733620,11577.99,11378.02,11578.89,11363.69,220202138,-90.58067727,37.00426441,220,11348.23192,11433.23946,11372.208,11440.911,-254.36,415.48,3.789997574,-0.010311771,2842680.881,73.2,2.09
20080801,733621,11379.89,11326.32,11425.73,11267.05,189698055,-89.56283655,-17.23464819,158.68,11329.55846,11423.05666,11363.334,11423.886,-22.96,87.04,0.774426832,-0.012297534,4123074.288,73.37,2.04
20080804,733624,11326.32,11284.15,11382.17,11221.53,170254857,-91.10871249,-63.25329979,160.64,11323.04808,11409.82745,11393.948,11405.567,-86.54,-162.51,-1.419715445,-0.027438052,3594905.274,73.5,1.97
20080805,733625,11286.02,11615.77,11615.93,11286.02,234986070,-64.82757583,60.48727621,331.78,11333.40423,11429.44103,11437.59,11406.894,484.69,119.2,1.036830985,-0.001427911,5441529.56,73.96,1.97
20080806,733626,11603.64,11656.07,11685.46,11521.32,180060372,-40.28335109,124.3013258,164.14,11345.17577,11451.02474,11452.066,11409.263,258.51,188.73,1.64580452,0.026320192,7768052.761,74.25,2.01
20080807,733627,11655.42,11431.43,11655.58,11416.7,229609745,-38.51447586,38.65036782,239.37,11347.06692,11449.15857,11462.748,11417.478,-152.26,-171.07,-1.474423616,0.005313421,5016491.367,74.54,1.96
20080808,733628,11432.09,11734.32,11759.96,11388.04,212831426,-12.5275283,105.8300119,371.92,11367.02115,11476.3168,11544.348,11453.841,356.3,101.94,0.876346887,0.051408177,7256349.95,75.84,2.01
20080811,733631,11729.67,11782.35,11867.11,11675.53,183192046,11.80683265,160.3785814,191.58,11386.01385,11505.46282,11643.988,11518.968,456.03,433.07,3.815836776,0.032658171,5761610.4,76.27,1.99
20080812,733632,11781.7,11642.47,11782.35,11601.52,173587875,19.57914584,103.3982567,180.83,11401.80269,11518.51113,11649.328,11543.459,358.32,271.78,2.390180367,0.005048757,6352811.32,76.17,1.95
20080813,733633,11632.81,11532.96,11633.78,11453.34,182552488,16.70960038,29.79793939,189.13,11407.52385,11519.88721,11624.706,11538.386,-82.81,401.88,3.610431333,0.013434539,4246844.265,76.26,1.98
20080814,733634,11532.07,11615.93,11718.28,11450.89,159785423,20.88964766,51.36582263,267.39,11425.54269,11529.03414,11661.606,11562.177,-40.14,218.37,1.915936393,0.024932141,6059674.879,76.71,2.09
20080815,733635,11611.21,11659.9,11709.89,11599.73,215043738,27.43413317,75.55790445,110.16,11442.115,11541.49756,11646.722,11595.535,228.47,76.21,0.6579078,0.032225834,7432836.516,77.12,2.08
20080818,733638,11659.65,11479.39,11690.43,11434.12,156291342,17.84928127,-7.136810516,256.31,11456.68615,11535.58255,11586.13,11615.059,-254.93,101.37,0.890928299,-0.011740935,7321918.503,77.18,1.91
20080819,733639,11478.09,11348.55,11478.17,11318.5,171578049,-0.30100762,-95.92627865,160.89,11467.96923,11517.76993,11527.346,11588.337,-433.8,22.23,0.196268514,-0.02638282,3311379.462,76.76,1.94
20080820,733640,11345.94,11417.43,11454.15,11290.58,144884020,-9.023188284,-86.56519092,163.57,11485.465,11508.21374,11504.24,11564.473,-225.04,133.28,1.181125738,-0.001224694,999664.6148,76.93,1.98
20080821,733641,11415.23,11430.21,11476.21,11315.57,130024520,-14.73449008,-81.37888261,160.64,11492.80846,11500.78482,11467.096,11564.351,-102.75,-185.56,-1.597483421,-0.025916287,-641879.2295,76.08,2.01
20080822,733642,11426.79,11628.06,11632.13,11426.79,138785457,-3.258336324,5.399545078,205.34,11499.78538,11512.90626,11460.728,11553.725,12.13,-28.01,-0.240303979,-0.013095011,1152533.59,76.74,2.02
20080825,733645,11626.19,11386.25,11626.27,11362.63,148606342,-13.51960234,-66.87831501,265.43,11495.54231,11500.84376,11442.1,11514.115,-273.65,-45.18,-0.395226144,-0.022007358,-1926109.956,76.81,2.01
20080826,733646,11383.56,11412.87,11436.24,11340.41,119804850,-19.28145347,-95.16778873,95.83,11493.44731,11492.46531,11454.964,11491.155,-66.52,-321.45,-2.739400323,-0.010412765,-2107914.178,77.27,1.88
20080827,733647,11412.46,11502.51,11554.46,11381.77,120584027,-16.4252234,-36.67689777,172.69,11489.60154,11493.42194,11471.98,11488.11,153.96,-279.84,-2.375077977,-0.009764177,865083.3783,77.04,1.98
20080828,733648,11499.87,11715.18,11715.18,11499.79,149150646,2.964873925,71.98834803,215.39,11492.78615,11514.54176,11528.974,11498.035,297.75,72.71,0.624523834,0.004718664,1880775.159,77.15,1.99
20080829,733649,11713.23,11543.55,11713.23,11543.39,166912953,4.431475832,57.68302004,171.79,11500.25808,11517.30445,11512.072,11486.4,113.34,10.59,0.091823782,0.005558082,2140013.198,77.32,1.94
